metric,pearson_r,pearson_p,spearman_r,spearman_p,n,dataset
label_distribution_similarity,1.0,0.0,1.0,0.0,2450,NSLKDD
client_entropy,0.11601809433089508,8.454899415167842e-09,0.12805681684356846,1.9984393547086994e-10,2450,NSLKDD
client_js_to_global,-0.23386895047767164,8.624927340238222e-32,-0.24662402794778954,2.8536675610584743e-35,2450,NSLKDD
same_dominant_class,0.8322681241461055,0.0,0.7825102485070543,0.0,2450,NSLKDD
label_distribution_similarity,1.0,0.0,1.0,0.0,2450,UNSW
client_entropy,0.0839936404096894,3.144943994915546e-05,0.15888775114210804,2.5567594015753417e-15,2450,UNSW
client_js_to_global,-0.24501041877398896,8.073104183493495e-35,-0.27497121057036333,9.404880677310534e-44,2450,UNSW
same_dominant_class,0.76163795380693,0.0,0.6730247489354163,0.0,2450,UNSW
