dataset,client_id,matrix_type,neighbor_type,mean_js_to_global
NSLKDD,9,random,topn,0.4326986467681717
NSLKDD,9,random,random_n,0.4821046089299481
NSLKDD,10,random,topn,0.5585575605538603
NSLKDD,10,random,random_n,0.5990095795324805
NSLKDD,11,random,topn,0.4512062488296733
NSLKDD,11,random,random_n,0.5446982242054413
NSLKDD,12,random,topn,0.5698280383401721
NSLKDD,12,random,random_n,0.4970734703502783
NSLKDD,13,random,topn,0.49944458405030256
NSLKDD,13,random,random_n,0.5978221778771924
NSLKDD,14,random,topn,0.5912027714932563
NSLKDD,14,random,random_n,0.5613041460836715
NSLKDD,15,random,topn,0.5048548367015326
NSLKDD,15,random,random_n,0.5421317609139283
NSLKDD,16,random,topn,0.38279517272560953
NSLKDD,16,random,random_n,0.3810361275071175
NSLKDD,17,random,topn,0.5717464802622265
NSLKDD,17,random,random_n,0.6386210173944326
NSLKDD,18,random,topn,0.5231360732920859
NSLKDD,18,random,random_n,0.4942391604039074
NSLKDD,19,random,topn,0.5851604101425308
NSLKDD,19,random,random_n,0.5450371283100265
NSLKDD,20,random,topn,0.4924496609053624
NSLKDD,20,random,random_n,0.5714164036096704
NSLKDD,21,random,topn,0.44434134297237887
NSLKDD,21,random,random_n,0.5548885736298138
NSLKDD,22,random,topn,0.5010039468422248
NSLKDD,22,random,random_n,0.5555777170247376
NSLKDD,23,random,topn,0.6586493998632245
NSLKDD,23,random,random_n,0.5592239504505848
NSLKDD,24,random,topn,0.5163771885790303
NSLKDD,24,random,random_n,0.48075804355827656
NSLKDD,25,random,topn,0.5427558043048093
NSLKDD,25,random,random_n,0.5734564227967914
NSLKDD,26,random,topn,0.44170971816302146
NSLKDD,26,random,random_n,0.4885309003824405
NSLKDD,27,random,topn,0.5013701168664744
NSLKDD,27,random,random_n,0.6008261557059793
NSLKDD,28,random,topn,0.5993052565584626
NSLKDD,28,random,random_n,0.5168692273092022
NSLKDD,29,random,topn,0.4351395899097858
NSLKDD,29,random,random_n,0.5843028908977006
NSLKDD,30,random,topn,0.4746916373335945
NSLKDD,30,random,random_n,0.5245382792685982
NSLKDD,31,random,topn,0.5510773026408605
NSLKDD,31,random,random_n,0.4549910583052766
NSLKDD,32,random,topn,0.38534681794003806
NSLKDD,32,random,random_n,0.44512873947296544
NSLKDD,33,random,topn,0.49639685022804464
NSLKDD,33,random,random_n,0.5592239504505848
NSLKDD,34,random,topn,0.6353424263802948
NSLKDD,34,random,random_n,0.45693413542291633
NSLKDD,35,random,topn,0.4855710412417713
NSLKDD,35,random,random_n,0.5201232303297775
NSLKDD,36,random,topn,0.4605358567401588
NSLKDD,36,random,random_n,0.5071437832115816
NSLKDD,37,random,topn,0.46931023269756783
NSLKDD,37,random,random_n,0.6911710528793614
NSLKDD,38,random,topn,0.3934798832126812
NSLKDD,38,random,random_n,0.6556204279606305
NSLKDD,39,random,topn,0.432275305613193
NSLKDD,39,random,random_n,0.4942391604039074
NSLKDD,40,random,topn,0.5474888247054657
NSLKDD,40,random,random_n,0.5926727395332624
NSLKDD,41,random,topn,0.52701863251885
NSLKDD,41,random,random_n,0.541024339932041
NSLKDD,42,random,topn,0.4192631212880407
NSLKDD,42,random,random_n,0.5850077946683195
NSLKDD,43,random,topn,0.5338627584561547
NSLKDD,43,random,random_n,0.6075951653484811
NSLKDD,44,random,topn,0.5124180085582198
NSLKDD,44,random,random_n,0.5833787005355758
NSLKDD,45,random,topn,0.617850151073225
NSLKDD,45,random,random_n,0.47925902410605503
NSLKDD,46,random,topn,0.5053084527306355
NSLKDD,46,random,random_n,0.7028955800210565
NSLKDD,47,random,topn,0.7746483661790157
NSLKDD,47,random,random_n,0.4687524392083577
NSLKDD,48,random,topn,0.4349209641075215
NSLKDD,48,random,random_n,0.6904019002009524
NSLKDD,49,random,topn,0.5762559127546844
NSLKDD,49,random,random_n,0.5112540368729603
NSLKDD,0,label_affinity,topn,0.6487083244773784
NSLKDD,0,label_affinity,random_n,0.47768628282816455
NSLKDD,1,label_affinity,topn,0.5276596700087156
NSLKDD,1,label_affinity,random_n,0.46970035547462685
NSLKDD,2,label_affinity,topn,0.6766849441043247
NSLKDD,2,label_affinity,random_n,0.6089506549183265
NSLKDD,3,label_affinity,topn,0.3850748086973717
NSLKDD,3,label_affinity,random_n,0.5860821339669804
NSLKDD,4,label_affinity,topn,0.6135721433221356
NSLKDD,4,label_affinity,random_n,0.48582011437472866
NSLKDD,5,label_affinity,topn,0.6321643396891651
NSLKDD,5,label_affinity,random_n,0.4094543913670889
NSLKDD,6,label_affinity,topn,0.643707836430972
NSLKDD,6,label_affinity,random_n,0.5186322184431189
NSLKDD,7,label_affinity,topn,0.6235132187079816
NSLKDD,7,label_affinity,random_n,0.6168272351059915
NSLKDD,8,label_affinity,topn,0.762776290918719
NSLKDD,8,label_affinity,random_n,0.6069494374260443
NSLKDD,9,label_affinity,topn,0.51740763378556
NSLKDD,9,label_affinity,random_n,0.5929977606821042
NSLKDD,10,label_affinity,topn,0.6487083244773784
NSLKDD,10,label_affinity,random_n,0.4862528782628594
NSLKDD,11,label_affinity,topn,0.5571622461426439
NSLKDD,11,label_affinity,random_n,0.5035413770462199
NSLKDD,12,label_affinity,topn,0.5656296104172789
NSLKDD,12,label_affinity,random_n,0.5675908393141663
NSLKDD,13,label_affinity,topn,0.476801264366378
NSLKDD,13,label_affinity,random_n,0.4948213703049804
NSLKDD,14,label_affinity,topn,0.5926727395332624
NSLKDD,14,label_affinity,random_n,0.5533250901431149
NSLKDD,15,label_affinity,topn,0.6447786434886239
NSLKDD,15,label_affinity,random_n,0.4603394454805709
NSLKDD,16,label_affinity,topn,0.4538437821680315
NSLKDD,16,label_affinity,random_n,0.44355448420112104
NSLKDD,17,label_affinity,topn,0.49803957394640025
NSLKDD,17,label_affinity,random_n,0.5568703388374979
NSLKDD,18,label_affinity,topn,0.39836643387448606
NSLKDD,18,label_affinity,random_n,0.5521891060258817
NSLKDD,19,label_affinity,topn,0.5432880126276419
NSLKDD,19,label_affinity,random_n,0.4671990947716809
NSLKDD,20,label_affinity,topn,0.6256444795000285
NSLKDD,20,label_affinity,random_n,0.5333624547844636
NSLKDD,21,label_affinity,topn,0.5029931422809838
NSLKDD,21,label_affinity,random_n,0.5652982298330751
NSLKDD,22,label_affinity,topn,0.3999748644614019
NSLKDD,22,label_affinity,random_n,0.417364223323965
NSLKDD,23,label_affinity,topn,0.5581532898556064
NSLKDD,23,label_affinity,random_n,0.5267140839384381
NSLKDD,24,label_affinity,topn,0.6586493998632245
NSLKDD,24,label_affinity,random_n,0.5614506959614594
NSLKDD,25,label_affinity,topn,0.4067221392425268
NSLKDD,25,label_affinity,random_n,0.5421181286215558
NSLKDD,26,label_affinity,topn,0.553229088013488
NSLKDD,26,label_affinity,random_n,0.49259306711106915
NSLKDD,27,label_affinity,topn,0.42582213464626667
NSLKDD,27,label_affinity,random_n,0.455900482093243
NSLKDD,28,label_affinity,topn,0.6186224536307307
NSLKDD,28,label_affinity,random_n,0.611186183414835
NSLKDD,29,label_affinity,topn,0.6231389064726061
NSLKDD,29,label_affinity,random_n,0.50353034306859
NSLKDD,30,label_affinity,topn,0.6487083244773784
NSLKDD,30,label_affinity,random_n,0.5116807647109867
NSLKDD,31,label_affinity,topn,0.42765880073715096
NSLKDD,31,label_affinity,random_n,0.5279556408252831
NSLKDD,32,label_affinity,topn,0.42923786459602287
NSLKDD,32,label_affinity,random_n,0.5209710070201962
NSLKDD,33,label_affinity,topn,0.3927180930399297
NSLKDD,33,label_affinity,random_n,0.5668492723362387
NSLKDD,34,label_affinity,topn,0.4233704382508274
NSLKDD,34,label_affinity,random_n,0.6170809983948159
NSLKDD,35,label_affinity,topn,0.4915337333667667
NSLKDD,35,label_affinity,random_n,0.5152162229462675
NSLKDD,36,label_affinity,topn,0.4661652436291775
NSLKDD,36,label_affinity,random_n,0.46124676042063734
NSLKDD,37,label_affinity,topn,0.5471926607938621
NSLKDD,37,label_affinity,random_n,0.5101352702857975
NSLKDD,38,label_affinity,topn,0.4192725774559678
NSLKDD,38,label_affinity,random_n,0.46699253444542616
NSLKDD,39,label_affinity,topn,0.6746311109055348
NSLKDD,39,label_affinity,random_n,0.5030910536146452
NSLKDD,40,label_affinity,topn,0.48921242835559964
NSLKDD,40,label_affinity,random_n,0.5825862187236218
NSLKDD,41,label_affinity,topn,0.4745926365777618
NSLKDD,41,label_affinity,random_n,0.4754213560292682
NSLKDD,42,label_affinity,topn,0.5888983909946175
NSLKDD,42,label_affinity,random_n,0.5170759267699683
NSLKDD,43,label_affinity,topn,0.44574921424943725
NSLKDD,43,label_affinity,random_n,0.6604259517403502
NSLKDD,44,label_affinity,topn,0.5549946744373521
NSLKDD,44,label_affinity,random_n,0.5467197361107287
NSLKDD,45,label_affinity,topn,0.5029564348884601
NSLKDD,45,label_affinity,random_n,0.5163000392821991
NSLKDD,46,label_affinity,topn,0.42714396351081496
NSLKDD,46,label_affinity,random_n,0.4821952624224368
NSLKDD,47,label_affinity,topn,0.44865206366497395
NSLKDD,47,label_affinity,random_n,0.5320121312086369
NSLKDD,48,label_affinity,topn,0.37187880805965073
NSLKDD,48,label_affinity,random_n,0.5116807647109868
NSLKDD,49,label_affinity,topn,0.6333759526750197
NSLKDD,49,label_affinity,random_n,0.5384472967753217
NSLKDD,0,random,topn,0.5537078653576576
NSLKDD,0,random,random_n,0.40052716241759007
NSLKDD,1,random,topn,0.59554674661244
NSLKDD,1,random,random_n,0.5456298695233458
NSLKDD,2,random,topn,0.46284302551801276
NSLKDD,2,random,random_n,0.5734564227967914
NSLKDD,3,random,topn,0.5711494385814113
NSLKDD,3,random,random_n,0.5534743804106105
NSLKDD,4,random,topn,0.4594513322507372
NSLKDD,4,random,random_n,0.5591592075436888
NSLKDD,5,random,topn,0.6786773730592571
NSLKDD,5,random,random_n,0.47843680681176837
NSLKDD,6,random,topn,0.43550728260505295
NSLKDD,6,random,random_n,0.44479057760198915
NSLKDD,7,random,topn,0.5986215831590556
NSLKDD,7,random,random_n,0.6068362862593878
NSLKDD,8,random,topn,0.557162246142644
NSLKDD,8,random,random_n,0.5463810850114644
NSLKDD,9,random,topn,0.4326986467681717
NSLKDD,9,random,random_n,0.5981250959880056
NSLKDD,10,random,topn,0.5585575605538603
NSLKDD,10,random,random_n,0.47593716714578
NSLKDD,11,random,topn,0.4512062488296733
NSLKDD,11,random,random_n,0.4605588586394882
NSLKDD,12,random,topn,0.5698280383401721
NSLKDD,12,random,random_n,0.48987458692920605
NSLKDD,13,random,topn,0.49944458405030256
NSLKDD,13,random,random_n,0.5371256258969204
NSLKDD,14,random,topn,0.5912027714932563
NSLKDD,14,random,random_n,0.5265393217026578
NSLKDD,15,random,topn,0.5048548367015326
NSLKDD,15,random,random_n,0.5783285070929226
NSLKDD,16,random,topn,0.38279517272560953
NSLKDD,16,random,random_n,0.46781835718193504
NSLKDD,17,random,topn,0.5717464802622265
NSLKDD,17,random,random_n,0.45362403369876997
NSLKDD,18,random,topn,0.5231360732920859
NSLKDD,18,random,random_n,0.5952507757958724
NSLKDD,19,random,topn,0.5851604101425308
NSLKDD,19,random,random_n,0.553229088013488
NSLKDD,20,random,topn,0.4924496609053624
NSLKDD,20,random,random_n,0.4445649974346981
NSLKDD,21,random,topn,0.44434134297237887
NSLKDD,21,random,random_n,0.5979874637237247
NSLKDD,22,random,topn,0.5010039468422248
NSLKDD,22,random,random_n,0.4486633277240497
NSLKDD,23,random,topn,0.6586493998632245
NSLKDD,23,random,random_n,0.3976707417649088
NSLKDD,24,random,topn,0.5163771885790303
NSLKDD,24,random,random_n,0.6122021068033466
NSLKDD,25,random,topn,0.5427558043048093
NSLKDD,25,random,random_n,0.4062385252837637
NSLKDD,26,random,topn,0.44170971816302146
NSLKDD,26,random,random_n,0.427894709577322
NSLKDD,27,random,topn,0.5013701168664744
NSLKDD,27,random,random_n,0.39637945366849053
NSLKDD,28,random,topn,0.5993052565584626
NSLKDD,28,random,random_n,0.416190607726735
NSLKDD,29,random,topn,0.4351395899097858
NSLKDD,29,random,random_n,0.5132667543396517
NSLKDD,30,random,topn,0.4746916373335945
NSLKDD,30,random,random_n,0.4986232615746237
NSLKDD,31,random,topn,0.5510773026408605
NSLKDD,31,random,random_n,0.5317595843755096
NSLKDD,32,random,topn,0.38534681794003806
NSLKDD,32,random,random_n,0.6785298249406556
NSLKDD,33,random,topn,0.49639685022804464
NSLKDD,33,random,random_n,0.5541956214726863
NSLKDD,34,random,topn,0.6353424263802948
NSLKDD,34,random,random_n,0.6663379982157043
NSLKDD,35,random,topn,0.4855710412417713
NSLKDD,35,random,random_n,0.5853284980570881
NSLKDD,36,random,topn,0.4605358567401588
NSLKDD,36,random,random_n,0.6065279525025482
NSLKDD,37,random,topn,0.46931023269756783
NSLKDD,37,random,random_n,0.5350968900349432
NSLKDD,38,random,topn,0.3934798832126812
NSLKDD,38,random,random_n,0.6586493998632245
NSLKDD,39,random,topn,0.432275305613193
NSLKDD,39,random,random_n,0.4844085341321951
NSLKDD,40,random,topn,0.5474888247054657
NSLKDD,40,random,random_n,0.5926727395332624
NSLKDD,41,random,topn,0.52701863251885
NSLKDD,41,random,random_n,0.5982397715197769
NSLKDD,42,random,topn,0.4192631212880407
NSLKDD,42,random,random_n,0.4250637678777283
NSLKDD,43,random,topn,0.5338627584561547
NSLKDD,43,random,random_n,0.6107672310918253
NSLKDD,44,random,topn,0.5124180085582198
NSLKDD,44,random,random_n,0.41497749301724657
NSLKDD,45,random,topn,0.617850151073225
NSLKDD,45,random,random_n,0.5785682502472107
NSLKDD,46,random,topn,0.5053084527306355
NSLKDD,46,random,random_n,0.45555275428323294
NSLKDD,47,random,topn,0.7746483661790157
NSLKDD,47,random,random_n,0.566108926873746
NSLKDD,48,random,topn,0.4349209641075215
NSLKDD,48,random,random_n,0.5549946744373521
NSLKDD,49,random,topn,0.5762559127546844
NSLKDD,49,random,random_n,0.5782055537793154
NSLKDD,0,label_affinity,topn,0.6487083244773784
NSLKDD,0,label_affinity,random_n,0.6504150043142354
NSLKDD,1,label_affinity,topn,0.5276596700087156
NSLKDD,1,label_affinity,random_n,0.6004118393514373
NSLKDD,2,label_affinity,topn,0.6766849441043247
NSLKDD,2,label_affinity,random_n,0.5635153474109454
NSLKDD,3,label_affinity,topn,0.3850748086973717
NSLKDD,3,label_affinity,random_n,0.48438358199019255
NSLKDD,4,label_affinity,topn,0.6135721433221356
NSLKDD,4,label_affinity,random_n,0.6186625039765076
NSLKDD,5,label_affinity,topn,0.6321643396891651
NSLKDD,5,label_affinity,random_n,0.5393583316388876
NSLKDD,6,label_affinity,topn,0.643707836430972
NSLKDD,6,label_affinity,random_n,0.4611934218374625
NSLKDD,7,label_affinity,topn,0.6235132187079816
NSLKDD,7,label_affinity,random_n,0.5915115803900436
NSLKDD,8,label_affinity,topn,0.762776290918719
NSLKDD,8,label_affinity,random_n,0.6038145947110577
NSLKDD,9,label_affinity,topn,0.51740763378556
NSLKDD,9,label_affinity,random_n,0.3717264368772148
NSLKDD,10,label_affinity,topn,0.6487083244773784
NSLKDD,10,label_affinity,random_n,0.5180301817686176
NSLKDD,11,label_affinity,topn,0.5571622461426439
NSLKDD,11,label_affinity,random_n,0.627618211176217
NSLKDD,12,label_affinity,topn,0.5656296104172789
NSLKDD,12,label_affinity,random_n,0.5968196715661175
NSLKDD,13,label_affinity,topn,0.476801264366378
NSLKDD,13,label_affinity,random_n,0.4674986498941552
NSLKDD,14,label_affinity,topn,0.5926727395332624
NSLKDD,14,label_affinity,random_n,0.45580392339227843
NSLKDD,15,label_affinity,topn,0.6447786434886239
NSLKDD,15,label_affinity,random_n,0.5599653043731341
NSLKDD,16,label_affinity,topn,0.4538437821680315
NSLKDD,16,label_affinity,random_n,0.4760938433101067
NSLKDD,17,label_affinity,topn,0.49803957394640025
