metric,pearson_r,pearson_p,spearman_r,spearman_p,n,dataset
label_distribution_similarity,1.0,0.0,1.0,0.0,2450,UNSW
client_entropy,0.0839936404096894,3.144943994915546e-05,0.15888775114210804,2.5567594015753417e-15,2450,UNSW
client_js_to_global,-0.24501041877398896,8.073104183493495e-35,-0.27497121057036333,9.404880677310534e-44,2450,UNSW
same_dominant_class,0.76163795380693,0.0,0.6730247489354163,0.0,2450,UNSW
