dataset,round,client_id,matrix_type,neighbor_type,mean_entropy,std_entropy,mean_js_to_global,mean_num_classes,class_coverage,class_coverage_ratio,same_dominant_class_ratio,mean_label_sim_to_client,client_entropy
UNSW,0,0,label_affinity,topn,0.7411756017175405,0.2539086966824351,0.657592624462489,7.0,9,0.9,1.0,0.9472755869242003,0.4789575217300045
UNSW,0,0,label_affinity,random_n,1.1302065066279436,0.4823704139274976,0.4834786532861835,8.0,10,1.0,1.0,0.8174633640517869,0.4789575217300045
UNSW,0,1,label_affinity,topn,0.24032353710849455,0.33986880553630683,0.6085070002271779,3.6666666666666665,9,0.9,1.0,0.8099498918684276,0.9357671657695651
UNSW,0,1,label_affinity,random_n,1.055791667200703,0.09440523385209472,0.6108990966111548,8.0,10,1.0,0.0,0.36346672927596674,0.9357671657695651
UNSW,0,2,label_affinity,topn,1.0681124742314128,0.48438551910919764,0.6818115281826153,7.333333333333333,10,1.0,1.0,0.8491772351520576,1.3107748547182532
UNSW,0,2,label_affinity,random_n,1.2313575784353528,0.25338555318607675,0.6059246359317454,8.0,10,1.0,0.0,0.4677462069197608,1.3107748547182532
UNSW,0,3,label_affinity,topn,0.6816494836817805,0.13714483541837905,0.5747437287067941,7.666666666666667,10,1.0,1.0,0.9526377888104065,0.8992423031923262
UNSW,0,3,label_affinity,random_n,0.9708789968722384,0.34156004590144934,0.46893376925156965,8.0,10,1.0,0.6666666666666666,0.804486468385655,0.8992423031923262
UNSW,0,4,label_affinity,topn,0.7328959922573276,0.21927587844757848,0.6283134843038053,6.666666666666667,9,0.9,1.0,0.9754908280823938,1.0992452813827027
UNSW,0,4,label_affinity,random_n,1.197468088898237,0.30504395364831866,0.5606886722468543,8.333333333333334,10,1.0,0.0,0.25307478296830394,1.0992452813827027
UNSW,0,5,label_affinity,topn,0.8640695236760765,0.2745297606164815,0.6229047463428884,7.0,9,0.9,1.0,0.9713920291442468,0.7794463541986179
UNSW,0,5,label_affinity,random_n,1.203658260378473,0.27037252012479307,0.5237631275396462,8.666666666666666,10,1.0,0.0,0.12016509996289675,0.7794463541986179
UNSW,0,6,label_affinity,topn,0.9950668670926587,0.15917081181508733,0.472101289975247,9.333333333333334,10,1.0,1.0,0.9630755805855721,1.0549739927579818
UNSW,0,6,label_affinity,random_n,0.6217719197919114,0.1682294996162876,0.6260611403618261,5.333333333333333,7,0.7,0.0,0.13224199457254718,1.0549739927579818
UNSW,0,7,label_affinity,topn,0.44719167240348523,0.3188559107171569,0.5776163909874573,5.333333333333333,10,1.0,1.0,0.9915172780661784,-0.0
UNSW,0,7,label_affinity,random_n,0.9634285920218694,0.36658562508638826,0.5548421348040047,8.0,10,1.0,0.3333333333333333,0.356649398876016,-0.0
UNSW,0,8,label_affinity,topn,1.032437905721497,0.4156657368041954,0.47395239673929046,7.666666666666667,10,1.0,0.6666666666666666,0.8722441558535118,0.8787219451004151
UNSW,0,8,label_affinity,random_n,1.3567783530335722,0.2374955156364355,0.5114438780548877,9.333333333333334,10,1.0,0.3333333333333333,0.29195969747216516,0.8787219451004151
UNSW,0,9,label_affinity,topn,0.5286285865080508,0.7475937164978045,0.5831984385908074,3.6666666666666665,9,0.9,1.0,0.9596531214086133,-0.0
UNSW,0,9,label_affinity,random_n,1.2490415059903535,0.22694513972852728,0.6680739829265002,7.333333333333333,10,1.0,0.3333333333333333,0.2866813484836198,-0.0
UNSW,0,10,label_affinity,topn,1.275166530804161,0.46304281722166274,0.436787229289402,8.333333333333334,10,1.0,0.6666666666666666,0.7549682600216873,1.2382766314281446
UNSW,0,10,label_affinity,random_n,0.9133923679309591,0.12116371522077536,0.5784467550708011,8.0,9,0.9,0.3333333333333333,0.6211054608812224,1.2382766314281446
UNSW,0,11,label_affinity,topn,0.7972412423692194,0.22222946428165713,0.5504418350768437,8.333333333333334,10,1.0,1.0,0.7628959406459446,1.6975381475258606
UNSW,0,11,label_affinity,random_n,1.1362895795832635,0.35902588237854194,0.6374559428224829,7.333333333333333,10,1.0,0.0,0.47315133666341175,1.6975381475258606
UNSW,0,12,label_affinity,topn,0.9702854047478618,0.328009294704243,0.4784937899127757,7.0,9,0.9,0.6666666666666666,0.8079907922294384,1.6190094270033586
UNSW,0,12,label_affinity,random_n,0.6318773815185632,0.6397674430462933,0.6084407871603711,4.666666666666667,10,1.0,0.3333333333333333,0.5158675905423762,1.6190094270033586
UNSW,0,13,label_affinity,topn,0.0,0.0,0.6573443880807325,1.0,1,0.1,1.0,1.0,-0.0
UNSW,0,13,label_affinity,random_n,0.7562701410226117,0.6158980478424364,0.5521575936726754,5.666666666666667,10,1.0,0.3333333333333333,0.3733148547963563,-0.0
UNSW,0,14,label_affinity,topn,1.3973988562031092,0.050703068556945056,0.6659385408249207,8.333333333333334,10,1.0,0.0,0.41632287830087505,1.3926414175763133
UNSW,0,14,label_affinity,random_n,0.7056661921761865,0.5201240071370077,0.506662795044166,4.666666666666667,9,0.9,0.0,0.02759853093557023,1.3926414175763133
UNSW,0,15,label_affinity,topn,1.343109171081119,0.13031018697220503,0.6669730392142199,7.666666666666667,10,1.0,0.0,0.5817749728529653,0.6310578000107202
UNSW,0,15,label_affinity,random_n,1.2599735524123952,0.45324254291681565,0.44034655181009824,8.666666666666666,10,1.0,0.0,0.2557927707927876,0.6310578000107202
UNSW,0,16,label_affinity,topn,0.0,0.0,0.6573443880807325,1.0,1,0.1,1.0,0.9577626612182787,0.6222600956388348
UNSW,0,16,label_affinity,random_n,1.4505930348719627,0.27409960128628086,0.47615829130388954,9.0,10,1.0,0.3333333333333333,0.5858442639824554,0.6222600956388348
UNSW,0,17,label_affinity,topn,0.5286285865080508,0.7475937164978045,0.5831984385908074,3.6666666666666665,9,0.9,1.0,0.7905538517148086,0.8664003453880458
UNSW,0,17,label_affinity,random_n,1.006829210423458,0.7147562867786869,0.49953200240219503,6.0,10,1.0,0.3333333333333333,0.6199944136134806,0.8664003453880458
UNSW,0,18,label_affinity,topn,1.2672911520883503,0.08702548032416539,0.6744578436280465,8.333333333333334,10,1.0,1.0,0.9001413587292236,0.38701146921460206
UNSW,0,18,label_affinity,random_n,0.8514375307547923,0.6392483096492181,0.5701194384526566,6.333333333333333,10,1.0,0.0,0.3009310487829301,0.38701146921460206
UNSW,0,19,label_affinity,topn,0.0,0.0,0.6573443880807325,1.0,1,0.1,1.0,0.987205577118942,0.620604405884972
UNSW,0,19,label_affinity,random_n,0.853655883877499,0.10983942910729223,0.6350755794459584,6.666666666666667,10,1.0,0.3333333333333333,0.36850327470389105,0.620604405884972
UNSW,0,20,label_affinity,topn,1.0566177542519581,0.47803989848816436,0.624383177345307,7.333333333333333,10,1.0,1.0,0.8218693069614843,1.1646191568440238
UNSW,0,20,label_affinity,random_n,0.8350998345198497,0.34781616576796226,0.599305970662066,7.666666666666667,10,1.0,0.3333333333333333,0.3484738331972401,1.1646191568440238
UNSW,0,21,label_affinity,topn,1.200153970972893,0.3542787497602592,0.46858828466075164,8.666666666666666,10,1.0,1.0,0.8674567501516806,1.5403068243488547
UNSW,0,21,label_affinity,random_n,1.4139732096330075,0.1223730169855545,0.591263191030681,9.0,10,1.0,0.0,0.41407469754098253,1.5403068243488547
UNSW,0,22,label_affinity,topn,0.8578675541269657,0.2859518358102706,0.5492375739211318,8.666666666666666,10,1.0,1.0,0.8753698877947554,1.0214075594107743
UNSW,0,22,label_affinity,random_n,0.16293332057161333,0.23042251171485875,0.6392512706318981,3.3333333333333335,8,0.8,0.3333333333333333,0.2942414671772277,1.0214075594107743
UNSW,0,23,label_affinity,topn,1.5097027688704872,0.06343977830902055,0.4140402579209829,9.0,10,1.0,0.3333333333333333,0.8458308858760648,1.187873368654881
UNSW,0,23,label_affinity,random_n,1.0178134573042914,0.19693898570916482,0.5130350264339435,7.333333333333333,10,1.0,0.6666666666666666,0.7534378125609154,1.187873368654881
UNSW,0,24,label_affinity,topn,1.0088075977890842,0.4344511466486226,0.5873643807523917,8.333333333333334,10,1.0,1.0,0.8894534011155604,1.0140057679155223
UNSW,0,24,label_affinity,random_n,1.0368050195074996,0.2114738519960695,0.5182369244079986,9.0,10,1.0,0.0,0.23701387462571513,1.0140057679155223
UNSW,0,25,label_affinity,topn,0.8991567376496024,0.3622225375347607,0.7229090370496175,5.666666666666667,9,0.9,1.0,0.8389270177774181,1.3452590146566168
UNSW,0,25,label_affinity,random_n,1.4435177808149138,0.30539822844431674,0.4252387974952741,9.0,10,1.0,0.0,0.2668070481730949,1.3452590146566168
UNSW,0,26,label_affinity,topn,1.440501067652043,0.04232868382274388,0.556397612222503,8.333333333333334,10,1.0,1.0,0.7759512571476419,1.0089416943992031
UNSW,0,26,label_affinity,random_n,0.9801342163498892,0.50728163491115,0.513684904795176,6.666666666666667,9,0.9,0.0,0.10450039643968827,1.0089416943992031
UNSW,0,27,label_affinity,topn,0.7858830524371084,0.25327231656447163,0.6264837148026342,6.0,8,0.8,1.0,0.9907379413486569,0.705724687126456
UNSW,0,27,label_affinity,random_n,1.4538982784556513,0.1881098793209916,0.5082546011672456,8.333333333333334,10,1.0,0.0,0.40177967663597713,0.705724687126456
UNSW,0,28,label_affinity,topn,1.2881155199368177,0.20107988411035982,0.6033240299613779,8.0,9,0.9,1.0,0.8150032526208575,1.4660983375448788
UNSW,0,28,label_affinity,random_n,1.0542735150191345,0.4992937992849291,0.6189886942180213,6.333333333333333,10,1.0,0.0,0.46877603997507916,1.4660983375448788
UNSW,0,29,label_affinity,topn,0.24032353710849455,0.33986880553630683,0.6085070002271779,3.6666666666666665,9,0.9,1.0,0.8867640810706267,1.5858857595241524
UNSW,0,29,label_affinity,random_n,1.049646299645616,0.31707037284053396,0.6329464677787658,6.333333333333333,10,1.0,0.3333333333333333,0.48839185133073243,1.5858857595241524
UNSW,0,30,label_affinity,topn,0.7972412423692194,0.22222946428165707,0.5504418350768436,8.333333333333334,10,1.0,1.0,0.9797133755139414,0.7959587416037536
UNSW,0,30,label_affinity,random_n,0.9555453057867608,0.414946495155654,0.5406036511006684,7.333333333333333,10,1.0,0.3333333333333333,0.3589305137459435,0.7959587416037536
UNSW,0,31,label_affinity,topn,1.1016239817278135,0.15895305527949485,0.4785521364109418,6.666666666666667,10,1.0,0.3333333333333333,0.8415209066455477,1.4325519240824531
UNSW,0,31,label_affinity,random_n,0.6903215341483336,0.5373973423776821,0.6129675389551702,5.333333333333333,10,1.0,0.0,0.5074622706080137,1.4325519240824531
UNSW,0,32,label_affinity,topn,1.3280048956344548,0.14096552040493662,0.5670986467013969,8.666666666666666,10,1.0,0.6666666666666666,0.8159585913325094,1.4720669388230196
UNSW,0,32,label_affinity,random_n,1.3701873834815101,0.253931389709391,0.5083811421503356,9.0,10,1.0,0.0,0.7303504843868335,1.4720669388230196
UNSW,0,33,label_affinity,topn,0.9102526851144922,0.31302345162620593,0.4701380304072815,7.666666666666667,10,1.0,0.6666666666666666,0.8539860435150765,0.9344006471922099
UNSW,0,33,label_affinity,random_n,0.8203322050473961,0.5949784775382535,0.6848193125891934,5.333333333333333,9,0.9,0.0,0.25006194358787187,0.9344006471922099
UNSW,0,34,label_affinity,topn,0.964232467832281,0.13521803259404222,0.6069744724907523,6.666666666666667,9,0.9,1.0,0.9727853494911382,0.44944692046029017
UNSW,0,34,label_affinity,random_n,0.812365840746137,0.28983801744624016,0.5367899835936557,7.666666666666667,10,1.0,0.3333333333333333,0.4750346578648373,0.44944692046029017
UNSW,0,35,label_affinity,topn,0.9515380655207424,0.11198638442715037,0.5178044796356315,9.333333333333334,10,1.0,1.0,0.9776396565871809,0.48879996171483997
UNSW,0,35,label_affinity,random_n,1.0779274689248615,0.3623732435561293,0.5756117348562175,6.0,10,1.0,0.3333333333333333,0.2505708385849286,0.48879996171483997
UNSW,0,36,label_affinity,topn,1.354325246377334,0.24923674774954646,0.650381663697459,8.666666666666666,10,1.0,0.6666666666666666,0.8106112373941512,1.3808392164078322
UNSW,0,36,label_affinity,random_n,0.4711193896407382,0.38150772784160114,0.6009356933855874,5.0,9,0.9,0.0,0.2477908452314228,1.3808392164078322
UNSW,0,37,label_affinity,topn,0.8996275023321906,0.08480288299663194,0.5237224605274188,8.666666666666666,9,0.9,1.0,0.9728108296843431,1.1855603974737305
UNSW,0,37,label_affinity,random_n,0.8260823704013033,0.6149482587237944,0.5109368386411485,6.333333333333333,10,1.0,0.3333333333333333,0.4641352171871069,1.1855603974737305
UNSW,0,38,label_affinity,topn,1.2337289188287153,0.2528679238309169,0.5732006478995161,8.0,10,1.0,0.6666666666666666,0.8367508770806973,1.5086206753410876
UNSW,0,38,label_affinity,random_n,1.2672025712573138,0.2376913059969545,0.5558388006991785,7.666666666666667,10,1.0,0.0,0.3229484861934652,1.5086206753410876
UNSW,0,39,label_affinity,topn,1.306811463373615,0.3153649217381435,0.5851431073894134,7.333333333333333,10,1.0,0.3333333333333333,0.802946194784346,1.474565649003418
UNSW,0,39,label_affinity,random_n,0.9091593007647983,0.4105025693984116,0.5831153984573505,8.0,10,1.0,0.3333333333333333,0.5039054372093995,1.474565649003418
UNSW,0,40,label_affinity,topn,0.9493009005540888,0.4923461108922214,0.551369650394809,7.0,10,1.0,1.0,0.861052245464761,1.0683551975658754
UNSW,0,40,label_affinity,random_n,0.7868384367408655,0.648350439343105,0.5579033187817525,5.666666666666667,10,1.0,0.0,0.3045787979888481,1.0683551975658754
UNSW,0,41,label_affinity,topn,0.20742003187961158,0.29333622219200645,0.6445221818998227,2.3333333333333335,5,0.5,1.0,0.9360505478467958,0.7725796030346761
UNSW,0,41,label_affinity,random_n,1.2427651683479255,0.1693234080340042,0.5772726949279577,8.666666666666666,10,1.0,0.0,0.25016778241212595,0.7725796030346761
UNSW,0,42,label_affinity,topn,0.20686813529499068,0.2925557225570081,0.6264537788410119,2.6666666666666665,6,0.6,1.0,0.9957351923729806,-0.0
UNSW,0,42,label_affinity,random_n,1.195776460605652,0.415233420788593,0.5316834121225897,7.333333333333333,10,1.0,0.6666666666666666,0.6220549804482606,-0.0
