dataset,client_id,matrix_type,neighbor_type,mean_entropy
UNSW,15,random,topn,1.262203301983979
UNSW,15,random,random_n,0.5486155665288879
UNSW,16,random,topn,0.5964419362971197
UNSW,16,random,random_n,0.9965690277877228
UNSW,17,random,topn,1.0333519609468296
UNSW,17,random,random_n,1.1901120054088334
UNSW,18,random,topn,0.9049771467822755
UNSW,18,random,random_n,0.8311656297098714
UNSW,19,random,topn,0.9095573831470606
UNSW,19,random,random_n,1.0088763081717391
UNSW,20,random,topn,1.4349438221535957
UNSW,20,random,random_n,0.9939463077126526
UNSW,21,random,topn,0.9102526851144922
UNSW,21,random,random_n,1.135033963060036
UNSW,22,random,topn,1.4657477039085494
UNSW,22,random,random_n,0.9825547273960392
UNSW,23,random,topn,1.0136812032922125
UNSW,23,random,random_n,0.7389811865116243
UNSW,24,random,topn,1.0686995580139875
UNSW,24,random,random_n,0.7066536815553134
UNSW,25,random,topn,0.9888384343563269
UNSW,25,random,random_n,1.1324509599706063
UNSW,26,random,topn,0.7045373429672658
UNSW,26,random,random_n,1.0041245877239582
UNSW,27,random,topn,0.25981545139953927
UNSW,27,random,random_n,1.2093525140783934
UNSW,28,random,topn,0.9245863760596779
UNSW,28,random,random_n,0.8619007317757671
UNSW,29,random,topn,1.1055158581764064
UNSW,29,random,random_n,1.0951430382791052
UNSW,30,random,topn,0.9916242228177939
UNSW,30,random,random_n,0.9789054708525268
UNSW,31,random,topn,0.8159710998717276
UNSW,31,random,random_n,1.2893390755960263
UNSW,32,random,topn,1.0235248970394724
UNSW,32,random,random_n,1.1750305811061728
UNSW,33,random,topn,1.1856577255451037
UNSW,33,random,random_n,0.417220735298564
UNSW,34,random,topn,1.3137411004305848
UNSW,34,random,random_n,1.2234784587548717
UNSW,35,random,topn,1.2691909816038622
UNSW,35,random,random_n,0.651405431983436
UNSW,36,random,topn,1.2255529996735095
UNSW,36,random,random_n,0.5437339300126793
UNSW,37,random,topn,0.7102935903266409
UNSW,37,random,random_n,1.1505792689605359
UNSW,38,random,topn,1.0132831365251915
UNSW,38,random,random_n,1.1705294781221387
UNSW,39,random,topn,1.3000118691431801
UNSW,39,random,random_n,0.9322611429695211
UNSW,40,random,topn,0.6016334786676523
UNSW,40,random,random_n,0.9543579133494434
UNSW,41,random,topn,0.7895102027640287
UNSW,41,random,random_n,0.8169635142510314
UNSW,42,random,topn,0.9682062876351575
UNSW,42,random,random_n,0.6495910904818925
UNSW,43,random,topn,1.1974225224035437
UNSW,43,random,random_n,0.8887675285247445
UNSW,44,random,topn,0.4937201196840772
UNSW,44,random,random_n,0.977425839833893
